country_Other,continent,region
Uzbekistan,Asia,Central Asia
Azerbaijan,Asia,Western Asia
Slovenia,Europe,Southern Europe
Bosnia and Herzegovina,Europe,Southern Europe
Armenia,Asia,Western Asia
Lithuania,Europe,Nothern Europe
North Macedonia,Europe,Southern Europe
Oman,Asia,Western Asia
Slovakia,Europe,Eastern Europe
Hong Kong,Asia,East Asia
Cameroon,Africa,Central Africa
Cuba,North America,North America
Afghanistan,Asia,South Asia
Tunisia,Africa,North Africa
Bulgaria,Europe,Eastern Europe
Cyprus,Asia,Western Asia
Djibouti,Africa,East Africa
Diamond Princess,Other,Other
Andorra,Europe,Southern Europe
Ivory Coast,Africa,West Africa
Latvia,Europe,Nothern Europe
Lebanon,Asia,Western Asia
Costa Rica,North America,North America
Ghana,Africa,West Africa
Niger,Africa,West Africa
Burkina Faso,Africa,West Africa
Albania,Europe,Southern Europe
Uruguay,South America,South America
Nigeria,Africa,West Africa
Kyrgyzstan,Asia,Central Asia
Guinea,Africa,West Africa
Channel Islands,Europe,Nothern Europe
Bolivia,South America,South America
Honduras,North America,North America
San Marino,Europe,Southern Europe
Malta,Europe,Southern Europe
Jordan,Asia,Western Asia
Palestine,Asia,Western Asia
Réunion,Africa,East Africa
Taiwan,Asia,East Asia
Georgia,Asia,Western Asia
Senegal,Africa,West Africa
Mauritius,Africa,East Africa
Montenegro,Europe,Southern Europe
Isle of Man,Europe,Nothern Europe
DRC,Africa,Central Africa
Vietnam,Asia,SouthEast Asia
Kenya,Africa,East Africa
Mayotte,Africa,East Africa
Sri Lanka,Asia,South Asia
Guatemala,North America,North America
Venezuela,South America,South America
Paraguay,South America,South America
Faeroe Islands,Europe,Nothern Europe
El Salvador,North America,North America
Mali,Africa,West Africa
Martinique,North America,North America
Tanzania,Africa,East Africa
Guadeloupe,North America,North America
Congo,Africa,Central Africa
Jamaica,North America,North America
Rwanda,Africa,East Africa
Brunei,Asia,SouthEast Asia
Gibraltar,Europe,Southern Europe
Cambodia,Asia,SouthEast Asia
Madagascar,Africa,East Africa
Somalia,Africa,East Africa
Trinidad and Tobago,North America,North America
Gabon,Africa,Central Africa
Ethiopia,Africa,East Africa
Aruba,North America,North America
French Guiana,South America,South America
Monaco,Europe,Western Europe
Myanmar,Asia,SouthEast Asia
Bermuda,North America,North America
Togo,Africa,West Africa
Liechtenstein,Europe,Western Europe
Equatorial Guinea,Africa,Central Africa
Liberia,Africa,West Africa
Barbados,North America,North America
Guyana,South America,South America
Cayman Islands,North America,North America
Sint Maarten,North America,North America
Cabo Verde,Africa,West Africa
French Polynesia,Oceania,Oceania
Uganda,Africa,East Africa
Bahamas,North America,North America
Zambia,Africa,East Africa
Libya,Africa,North Africa
Macao,Asia,East Asia
Haiti,North America,North America
Guinea-Bissau,Africa,West Africa
Syria,Asia,Western Asia
Saint Martin,North America,North America
Benin,Africa,West Africa
Eritrea,Africa,East Africa
Mozambique,Africa,East Africa
Sudan,Africa,East Africa
Mongolia,Asia,East Asia
Nepal,Asia,South Asia
Maldives,Asia,South Asia
Chad,Africa,Central Africa
Sierra Leone,Africa,West Africa
Zimbabwe,Africa,South Africa
Antigua and Barbuda,North America,North America
Angola,Africa,Central Africa
Laos,Asia,SouthEast Asia
Belize,North America,North America
New Caledonia,Oceania,Oceania
Timor-Leste,Asia,SouthEast Asia
Malawi,Africa,East Africa
Fiji,Oceania,Melanasia
Eswatini,Africa,South Africa
Dominica,North America,North America
Namibia,Africa,South Africa
Botswana,Africa,South Africa
Saint Lucia,North America,North America
Curaçao,North America,North America
Grenada,North America,North America
Saint Kitts and Nevis,North America,North America
CAR,Africa,Central Africa
St. Vincent Grenadines,North America,North America
Turks and Caicos,North America,North America
Falkland Islands,South America,South America
Greenland,North America,North America
Montserrat,North America,North America
Seychelles,Africa,East Africa
Suriname,South America,South America
MS Zaandam,Other,Other
Gambia,Africa,West Africa
Nicaragua,North America,North America
Vatican City,Europe,Southern Europe
Mauritania,Africa,West Africa
Papua New Guinea,Oceania,Australasia
St. Barth,North America,North America
Western Sahara,Africa,North Africa
Burundi,Africa,East Africa
Bhutan,Asia,South Asia
British Virgin Islands,North America,North America
Sao Tome and Principe,Africa,Central Africa
South Sudan,Africa,East Africa
Anguilla,North America,North America
Caribbean Netherlands,North America,North America
Saint Pierre Miquelon,North America,North America
Yemen,Asia,Western Asia
Comoros,Africa,East Africa
Tajikistan,Asia,Central Asia
Lesotho,Africa,South Africa
Solomon Islands,Oceania,Melanasia
Marshall Islands,Oceania,Micronesia
Wallis and Futuna,Oceania,Micronesia
Samoa,Oceania,Polynesia
Vanuatu,Oceania,Oceania
Palau,Oceania,Micronesia
Saint Helena,Africa,West Africa
Micronesia,Oceania,Micronesia
Tonga,Oceania,Polynesia
Cook Islands,Oceania,Polynesia
